﻿Destalhamento da Despesa 2023
Unid. Gestora;Aprovado;Alteração;Movimentação;Bloqueado;Autorizado;Empenhado;Liquidado;
"ADMINISTRAÇÃO REGIONAL  SETOR COMPL. IND. E ABAST.";3.603.228,00;542.134,00;0,00;0,00;4.145.362,00;4.088.939,84;4.005.775,83;
"ADMINISTRAÇÃO REGIONAL DA CANDANGOLÂNDIA";13.576.809,00;-5.861.804,00;-437.537,45;400.000,00;6.877.467,55;6.185.084,55;5.391.507,64;
"ADMINISTRAÇÃO REGIONAL DA FERCAL - RA XXXI";6.232.384,00;-352.075,00;-67.577,13;0,00;5.812.731,87;5.230.444,80;4.424.458,79;
"ADMINISTRAÇÃO REGIONAL DE  BRAZLANDIA";19.472.852,00;-3.377.115,00;0,00;444.087,00;15.651.650,00;15.145.277,93;13.937.866,46;
"ADMINISTRAÇÃO REGIONAL DE ÁGUAS CLARAS";10.390.076,00;2.004.282,00;0,00;0,00;12.394.358,00;12.206.914,06;11.367.791,59;
"ADMINISTRAÇÃO REGIONAL DE CEILÂNDIA";17.997.783,00;754.313,00;477.963,84;356.774,00;18.873.285,84;17.193.101,58;15.510.431,12;
"ADMINISTRAÇÃO REGIONAL DE PLANALTINA";15.370.141,00;-2.189.507,00;-309.000,00;0,00;12.871.634,00;11.544.180,70;10.769.368,87;
"ADMINISTRAÇÃO REGIONAL DE SAMAMBAIA";13.738.357,00;53.277,00;0,00;100.000,00;13.691.634,00;12.616.226,48;10.867.849,07;
"ADMINISTRAÇÃO REGIONAL DE SANTA MARIA";17.218.724,00;-3.880.861,00;0,00;0,00;13.337.863,00;13.203.379,96;11.132.970,58;
"ADMINISTRAÇÃO REGIONAL DE SÃO SEBASTIÃO";6.668.620,00;6.655.081,00;0,00;218.000,00;13.105.701,00;12.653.172,80;6.611.115,54;
"ADMINISTRAÇÃO REGIONAL DE SOBRADINHO";11.892.461,00;3.448.540,00;0,00;500.000,00;14.841.001,00;12.945.056,97;11.033.880,28;
"ADMINISTRAÇÃO REGIONAL DE SOBRADINHO II";5.520.822,00;1.936.374,00;0,00;0,00;7.457.196,00;7.049.694,22;4.557.192,27;
"ADMINISTRAÇÃO REGIONAL DE TAGUATINGA";22.207.000,00;-738.670,00;-1.350.000,00;150.000,00;19.968.330,00;18.914.293,29;18.688.983,54;
"ADMINISTRAÇÃO REGIONAL DE VICENTE PIRES";6.698.067,00;968.305,00;0,00;0,00;7.666.372,00;7.095.660,68;6.568.391,26;
"ADMINISTRAÇÃO REGIONAL DO  NÚCLEO BANDEIRANTE";16.362.679,00;-6.680.459,00;-403.306,75;652.559,00;8.626.354,25;7.675.007,95;7.586.996,99;
"ADMINISTRAÇÃO REGIONAL DO CRUZEIRO";5.957.961,00;1.013.505,00;0,00;0,00;6.971.466,00;6.558.431,32;6.402.797,75;
"ADMINISTRAÇÃO REGIONAL DO GAMA";15.788.146,00;-266.310,00;0,00;0,00;15.521.836,00;15.275.791,04;14.745.776,08;
"ADMINISTRAÇÃO REGIONAL DO GUARÁ";15.637.335,00;-1.625.312,00;-2.122.542,00;295.608,00;11.593.873,00;11.381.291,57;11.028.650,50;
"ADMINISTRAÇÃO REGIONAL DO ITAPOÃ";4.491.390,00;62.371,00;0,00;0,00;4.553.761,00;4.290.828,10;4.191.369,71;
"ADMINISTRAÇÃO REGIONAL DO JARDIM BOTÂNICO";8.274.767,00;940.187,00;0,00;0,00;9.214.954,00;8.454.077,31;8.207.407,09;
"ADMINISTRAÇÃO REGIONAL DO LAGO NORTE";6.708.637,00;-141.962,00;0,00;0,00;6.566.675,00;6.458.142,62;6.247.124,50;
"ADMINISTRAÇÃO REGIONAL DO LAGO SUL";6.486.832,00;-338.583,00;0,00;0,00;6.148.249,00;5.559.648,26;5.506.649,17;
"ADMINISTRAÇÃO REGIONAL DO PARANOÁ";5.516.705,00;1.150.171,00;0,00;0,00;6.666.876,00;6.338.934,43;5.192.058,23;
"ADMINISTRAÇÃO REGIONAL DO PARK WAY";3.191.779,00;3.114.233,00;-400.000,00;0,00;5.906.012,00;4.984.243,19;4.825.680,58;
"ADMINISTRAÇÃO REGIONAL DO PLANO PILOTO";22.457.564,00;-3.082.708,00;-1.383.854,50;250.000,00;17.741.001,50;17.125.122,41;11.305.796,07;
"ADMINISTRAÇÃO REGIONAL DO RECANTO DAS EMAS";8.557.409,00;1.491.524,00;-10.002,00;0,00;10.038.931,00;8.225.474,89;6.611.069,50;
"ADMINISTRAÇÃO REGIONAL DO RIACHO FUNDO";9.925.698,00;-1.206.131,00;-500.000,00;0,00;8.219.567,00;7.641.842,45;7.583.470,53;
"ADMINISTRAÇÃO REGIONAL DO RIACHO FUNDO II";4.114.549,00;1.800.568,00;0,00;182.454,70;5.732.662,30;5.458.652,96;4.680.089,85;
"ADMINISTRAÇÃO REGIONAL DO SUDOESTE/OCTOGONAL";5.679.387,00;329.043,00;0,00;74.921,00;5.933.509,00;5.886.519,74;5.685.340,63;
"ADMINISTRAÇÃO REGIONAL DO VARJÃO";2.745.951,00;168.338,00;0,00;0,00;2.914.289,00;2.730.929,87;2.649.028,12;
"ADMINISTRAÇÃO REGIONAL SETOR IND. E ABASTECIMENTO";5.080.424,00;355.108,00;0,00;0,00;5.435.532,00;4.877.663,52;3.966.705,76;
"AG. REG. DE ÁGUAS E SAN. BÁSICO DO DF - ADASA";75.206.700,00;4.134.123,00;-280.033,00;0,00;79.060.790,00;58.218.997,20;57.755.424,83;
"ARQUIVO PÚBLICO DO DISTRITO FEDERAL";5.089.315,00;793.554,00;0,00;0,00;5.882.869,00;5.187.469,26;5.187.469,26;
"CÂMARA LEGISLATIVA DO DISTRITO FEDERAL";771.177.670,00;-80.000.000,00;-246.320,00;0,00;690.931.350,00;635.123.961,34;596.287.227,56;
"CASA CIVIL DO DISTRITO FEDERAL";99.304.976,00;243.180,00;2.810.893,09;0,00;102.359.049,09;101.096.393,80;99.612.952,19;
"COMPANHIA DE DESENV. DA HABITAÇÃO  DO DF - CODHAB";133.584.949,00;34.499.302,00;-54.000,00;28.038.188,00;139.992.063,00;104.774.679,39;82.634.385,19;
"COMPANHIA DE PLANEJ. DO DISTRITO FEDERAL-CODEPLAN";580.000,00;1.570.168,00;53.905,34;0,00;2.204.073,34;1.489.509,27;1.480.509,27;
"COMPANHIA DO METROPOLITANO DO DF - METRÔ-DF";600.230.614,00;119.056.524,00;0,00;18.301.673,00;700.985.465,00;507.238.747,73;488.332.966,04;
"COMPANHIA URB. DA NOVA CAPITAL DO BRASIL-NOVACAP";779.750.469,00;479.169.664,47;70.858.691,18;192.449.724,47;1.137.329.100,18;1.086.984.292,00;1.000.489.929,84;
"CONTROLADORIA GERAL DO DISTRITO FEDERAL";79.846.395,00;1.889.857,00;1.624.000,00;0,00;83.360.252,00;79.103.213,35;78.816.942,73;
"CORPO DE BOMB. MILITAR DO DISTRITO FEDERAL - CBMDF";43.818.844,00;16.529.506,00;0,00;402.014,00;59.946.336,00;37.204.304,03;35.971.581,12;
"DEFENSORIA PÚBLICA DO DISTRITO FEDERAL";277.734.996,00;47.635.375,00;-409.827,07;0,00;324.960.543,93;316.290.324,47;303.593.347,59;
"DEPARTAMENTO DE TRÂNSITO DO DF - DETRAN-DF";525.650.357,00;159.285.464,00;14.407,38;100.000,00;684.850.228,38;589.437.437,63;517.360.801,18;
"DEPTO DE ESTRADAS E RODAGEM DO DF - DER/DF";773.308.017,00;507.867.437,00;1.104.128,35;251.370.668,00;1.030.908.914,35;747.882.941,14;705.346.139,74;
"EMPRESA DE ASSIST. TÉC. E EXT. RURAL DO DF-EMATER";136.158.933,00;19.860.000,00;0,00;0,00;156.018.933,00;141.095.324,62;139.737.235,42;
"FUNDAÇÃO DE AMPARO AO TRABALHADOR PRESO - FUNAP";32.286.739,00;14.285.584,00;0,00;0,00;46.572.323,00;44.577.702,01;44.440.682,53;
"FUNDAÇÃO DE APOIO A PESQUISA DO DF - FAP";150.450.456,00;30.671.926,00;-6.500.000,00;0,00;174.622.382,00;158.336.923,64;75.167.264,88;
"FUNDAÇÃO DE ENS. E PESQ. EM CIÊNC. DA SAÚDE-FEPECS";23.855.511,00;-4.125.691,00;-4.207.507,24;0,00;15.522.312,76;13.943.596,68;13.943.596,68;
"FUNDAÇÃO HEMOCENTRO DE BRASÍLIA - FHB";48.083.393,00;-8.996.430,00;66.074.512,03;0,00;105.161.475,03;91.423.530,04;87.707.209,47;
"FUNDAÇÃO JARDIM ZOOLÓGICO DE BRASÍLIA";24.511.054,00;4.785.782,00;-137.423,55;0,00;29.159.412,45;26.894.764,96;25.232.266,82;
"FUNDO ANTIDROGAS DO DISTRITO FEDERAL - FUNPAD";4.161.906,00;-634.078,00;0,00;0,00;3.527.828,00;3.485.000,00;3.015.390,30;
"FUNDO DA ARTE E DA CULTURA - FAC";90.219.350,00;16.469.282,00;0,00;0,00;106.688.632,00;79.939.139,04;30.867.581,87;
"FUNDO DA PROCURADORIA DO DISTRITO FEDERAL";38.790.170,00;102.106.707,00;0,00;0,00;140.896.877,00;31.948.855,58;28.778.836,00;
"FUNDO DA RECEITA TRIBUTÁRIA DO DF - PRÓ-RECEITA";88.923.163,00;-8.344.583,00;0,00;2.038.886,00;78.539.694,00;78.220.237,33;77.818.100,38;
"FUNDO DA UNIVERSIDADE DO DISTRITO FEDERAL -FUND";45.031.230,00;4.782.566,00;0,00;0,00;49.813.796,00;0,00;0,00;
"FUNDO DE APOIO À PESQUISA DO DISTRITO FEDERAL";10.000,00;0,00;0,00;0,00;10.000,00;0,00;0,00;
"FUNDO DE APOIO AO ESPORTE";30.616.279,00;68.287.484,00;-60.457.807,17;0,00;38.445.955,83;1.348.335,00;1.192.666,65;
"FUNDO DE APOIO E APARL. DO CENTº DE ASSIST JUD.DF";4.391.491,00;13.939.430,00;0,00;0,00;18.330.921,00;403.100,64;403.100,64;
"FUNDO DE APRIMORAMENTO DO CONTROLE INTERNO DO DF";89.221.469,00;-16.346.946,00;-1.630.000,00;0,00;71.244.523,00;70.581.071,50;66.307.757,66;
"FUNDO DE ASSISTÊNCIA À SAÚDE DA CLDF.";58.565.638,00;20.378.728,00;0,00;0,00;78.944.366,00;78.596.480,82;49.265.630,88;
"FUNDO DE ASSISTÊNCIA SOCIAL DO DISTRITO FEDERAL";149.325.467,00;90.236.121,00;-27.034,96;0,00;239.534.553,04;182.543.055,79;163.848.911,64;
"FUNDO DE COMBATE E ERRADICAÇÃO DA POBREZA";130.499.206,00;-10.230.000,00;0,00;0,00;120.269.206,00;119.882.695,00;119.882.695,00;
"FUNDO DE DEFESA DOS DIREITOS DO CONSUMIDOR";10.271.928,00;0,00;0,00;0,00;10.271.928,00;600.171,04;422.302,24;
"FUNDO DE DESENV. DO DISTRITO FEDERAL - FUNDEFE";6.617.247,00;0,00;0,00;0,00;6.617.247,00;4.037.759,00;4.037.759,00;
"FUNDO DE DESENV. URBANO DO DISTRITO FEDERAL";16.121.805,00;0,00;-3.340.936,00;0,00;12.780.869,00;1.096.536,23;319.890,40;
"FUNDO DE MANUT. E DESENV. DA EDUCAÇÃO BÁSICA";2.520.976.784,00;252.117.074,00;0,00;0,00;2.773.093.858,00;2.704.631.549,75;2.694.204.594,81;
"FUNDO DE MELHORIA DA GESTÃO PÚBLICA - PRÓ-GESTÃO";4.344.422,00;0,00;0,00;0,00;4.344.422,00;2.436.943,08;2.436.943,08;
"FUNDO DE MOD., MANUT. E REEQ. DA PCDF - FUNPCDF";6.313.273,00;29.701.962,00;0,00;0,00;36.015.235,00;590.672,44;588.172,44;
"FUNDO DE MOD., MANUT. E REEQ. DO CBMDF - FUNCBM";2.136.137,00;10.671.332,00;0,00;0,00;12.807.469,00;3.179.221,62;3.093.018,71;
"FUNDO DE MOD., MANUTENÇÃO E REEQ. DA PMDF - FUNPM";11.943.257,00;23.299.051,00;0,00;0,00;35.242.308,00;33.156,76;33.156,76;
"FUNDO DE MODERNIZAÇÃO E REAPAR. DA ADM. FAZENDÁRIA";15.509.293,00;-10.056.699,00;0,00;509.722,00;4.942.872,00;4.226.936,43;4.161.169,00;
"FUNDO DE SAÚDE DA POLÍCIA MILITAR";2.131.993,00;-100.000,00;0,00;0,00;2.031.993,00;2.028.563,00;2.019.042,55;
